f000,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,label
166.5569305419922,149.33103942871094,137.2086639404297,52.847496032714844,152.92532348632812,143.14515686035156,66.87287139892578,145.45848083496094,124.98554229736328,72.26677703857422,145.9343719482422,118.16915893554688,77.14237976074219,142.639892578125,118.17109680175781,0.12620191276073456,0.09078213572502136,0.09219508618116379,0.08730173110961914,0.08929785341024399,0.40853530168533325,162.9346466064453,156.61688232421875,135.3592529296875,56.005889892578125,156.48501586914062,139.6166534423828,68.59507751464844,150.89471435546875,124.16177368164062,67.75959014892578,149.69464111328125,123.013916015625,67.24102783203125,148.42587280273438,126.07532501220703,0.13011033833026886,0.09299726039171219,0.09241914004087448,0.09668760001659393,0.10119810700416565,0.3567351698875427,0.6932318806648254,0.41722288727760315,2.0,2 fists walking forward
161.28736877441406,152.6845245361328,148.35971069335938,31.285667419433594,160.406494140625,175.53167724609375,43.928794860839844,148.91757202148438,158.24343872070312,52.548831939697266,143.9307861328125,147.91116333007812,61.9694709777832,138.9298095703125,143.00552368164062,0.14520171284675598,0.11620485037565231,0.12112332880496979,0.11811678111553192,0.11522140353918076,0.49846741557121277,157.0686492919922,156.6582794189453,150.18797302246094,50.148048400878906,159.4066619873047,150.84620666503906,61.12337875366211,154.78799438476562,134.82760620117188,59.49644470214844,155.08070373535156,130.6511993408203,57.25410079956055,155.66708374023438,131.46022033691406,0.1477290242910385,0.10432776808738708,0.10696671158075333,0.1049012616276741,0.10222163796424866,0.46127206087112427,0.7083406448364258,0.406509667634964,2.0,2 fists walking forward
166.2493438720703,171.50604248046875,156.82289123535156,37.11996078491211,150.02059936523438,167.11695861816406,50.94868087768555,138.67926025390625,164.56478881835938,57.54024124145508,137.04347229003906,155.61550903320312,71.45905303955078,128.7969207763672,149.67359924316406,0.17644961178302765,0.14075753092765808,0.13791823387145996,0.1266642063856125,0.11964818835258484,0.8069947957992554,163.53514099121094,162.2345733642578,151.3372802734375,165.94650268554688,172.40699768066406,163.23414611816406,46.6640739440918,143.23800659179688,171.92820739746094,36.909358978271484,153.26223754882812,166.7004852294922,48.70001220703125,146.3592529296875,157.27362060546875,0.13901475071907043,0.17486020922660828,0.12878380715847015,0.11632408946752548,0.1102081760764122,0.8001416921615601,0.7181982398033142,0.4091389775276184,2.0,2 fists walking forward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.6288604736328,170.3170166015625,157.60476684570312,176.46966552734375,175.87828063964844,159.75038146972656,15.431559562683105,163.8603973388672,165.18516540527344,38.7921142578125,150.0934295654297,161.017333984375,162.46282958984375,88.9379653930664,157.04237365722656,0.1617768555879593,0.23270165920257568,0.1436280608177185,0.13243643939495087,0.1576276421546936,1.1939449310302734,0.5,0.40842878818511963,1.0,2 fists walking forward
162.9498291015625,166.55801391601562,152.01358032226562,36.8692512512207,151.24917602539062,167.4486541748047,47.0066032409668,142.35108947753906,164.09693908691406,51.41828918457031,143.1235809326172,155.25021362304688,60.71446228027344,137.79127502441406,148.13278198242188,0.17021793127059937,0.14331544935703278,0.1456303745508194,0.13706806302070618,0.12615956366062164,0.6255292296409607,166.52395629882812,164.9834442138672,156.09046936035156,150.93182373046875,140.3426055908203,159.93768310546875,107.8277359008789,102.725341796875,167.82032775878906,71.7252426147461,132.90438842773438,161.3583526611328,84.48675537109375,119.38520050048828,153.1207275390625,0.17417946457862854,0.18738281726837158,0.16316939890384674,0.14478079974651337,0.12823361158370972,0.7548876404762268,0.7129585146903992,0.4126017391681671,2.0,2 fists walking forward
161.88485717773438,155.7062530517578,144.51707458496094,23.531187057495117,164.80308532714844,178.35763549804688,38.00105285644531,153.8600311279297,160.08229064941406,49.95151138305664,149.0830078125,147.40049743652344,59.42649459838867,145.30361938476562,141.8680419921875,0.14665280282497406,0.11897382885217667,0.1219581663608551,0.11855848878622055,0.11544140428304672,0.5015055537223816,159.67225646972656,161.91160583496094,152.29803466796875,33.857173919677734,164.39768981933594,167.23794555664062,35.101444244384766,159.15989685058594,167.77706909179688,34.83119583129883,160.6837921142578,158.43797302246094,41.01633834838867,158.00628662109375,148.1826934814453,0.1442827731370926,0.12010032683610916,0.11858360469341278,0.11173797398805618,0.09921708703041077,0.5891405940055847,0.7052703499794006,0.4154333174228668,2.0,2 fists walking forward
158.84793090820312,150.1375732421875,134.54220581054688,29.72704315185547,164.36856079101562,174.65098571777344,50.066131591796875,152.37477111816406,150.24293518066406,63.31206512451172,147.1815643310547,135.8292999267578,67.63617706298828,146.10626220703125,131.4096221923828,0.12451288104057312,0.09964977949857712,0.10329314321279526,0.09802491962909698,0.09055568277835846,0.46234381198883057,161.34559631347656,163.93943786621094,148.55064392089844,34.72225570678711,163.1821746826172,165.58685302734375,46.310302734375,156.13487243652344,151.34432983398438,45.988033294677734,158.97312927246094,146.11753845214844,51.75893783569336,158.0498046875,137.09332275390625,0.1337226778268814,0.10355041921138763,0.10703248530626297,0.10284113138914108,0.09336675703525543,0.5169700384140015,0.6938691139221191,0.4199356436729431,2.0,2 fists walking forward
160.5935821533203,142.85348510742188,133.43666076660156,34.45077133178711,162.95545959472656,169.53419494628906,52.95055389404297,149.85198974609375,145.54734802246094,66.64041137695312,145.41819763183594,131.45758056640625,71.52718353271484,144.38214111328125,125.58129119873047,0.11920825392007828,0.09341338276863098,0.09753896296024323,0.09160340577363968,0.0828879177570343,0.4664231836795807,159.63681030273438,161.3396453857422,147.06558227539062,41.86875534057617,160.3496551513672,155.76318359375,52.3656120300293,154.55531311035156,142.720947265625,52.463592529296875,155.5859375,139.31436157226562,52.18312072753906,155.4359130859375,136.3018798828125,0.12533049285411835,0.09178657829761505,0.09786209464073181,0.09559638053178787,0.08870234340429306,0.512552797794342,0.6861108541488647,0.42460107803344727,2.0,2 fists walking forward
161.1625518798828,141.49917602539062,131.96322631835938,35.30051803588867,161.33114624023438,167.94932556152344,52.518611907958984,148.25624084472656,145.609130859375,65.86652374267578,144.66539001464844,131.544189453125,70.06415557861328,144.6831817626953,125.8206558227539,0.11814607679843903,0.09276770055294037,0.0976915955543518,0.09160782396793365,0.08264608681201935,0.4712129533290863,159.0832977294922,158.49087524414062,146.55416870117188,42.46630859375,159.2932586669922,152.44471740722656,54.1693115234375,152.24957275390625,139.2866973876953,53.4619140625,153.5991973876953,136.6421661376953,52.54391860961914,153.94509887695312,134.27574157714844,0.1254924088716507,0.08826541900634766,0.09549367427825928,0.09323637187480927,0.08646894991397858,0.5288388729095459,0.685127854347229,0.4258115589618683,2.0,2 fists walking forward
162.7211456298828,142.9273223876953,131.2363739013672,36.48636245727539,161.20602416992188,166.09738159179688,55.165855407714844,150.19650268554688,143.15679931640625,66.75316619873047,146.19705200195312,130.59176635742188,71.94573211669922,145.00267028808594,125.87210845947266,0.12114346027374268,0.09385931491851807,0.09746359288692474,0.09141046553850174,0.08312014490365982,0.4696754217147827,159.52516174316406,157.4555206298828,145.9069366455078,45.299034118652344,160.67803955078125,151.76177978515625,54.50844955444336,153.38182067871094,140.62997436523438,53.986534118652344,154.19894409179688,138.1303253173828,53.90937805175781,153.62083435058594,136.8660888671875,0.12530364096164703,0.09037429094314575,0.09698562324047089,0.09430436044931412,0.08772113919258118,0.5005341172218323,0.6854642629623413,0.425764262676239,2.0,2 fists walking forward
